column,unique_count,most_frequent,most_freq_count
Facebook_Id,21,32fc18da91029ff09bf74fe9887eace6b5d2145809d583f696e344530508b064,9013
post_id,19009,8570b69695e00d8f06b12398ed525497e1712b5369c6fc2138fe98f69811c138,1
Page Category,6,PERSON,9453
Page Admin Top Country,1,US,16280
Post Created,18951,2024-09-30T13:47:21.000Z,2
Post Created Date,425,2024-10-31,103
Post Created Time,16102,17:30:01,7
Type,9,Link,7404
Total Interactions,5665,15,115
Video Share Status,3,owned,3100
Is Video Owner?,3,-,13280
Video Length,774,00:00:30,83
