,count,mean,std,min,25%,50%,75%,max
Likes,19009.0,2377.6954074385817,11253.469668562226,0.0,31.0,139.0,738.0,351979.0
Comments,19009.0,901.583197432795,3681.980096241401,0.0,8.0,48.0,354.0,93872.0
Shares,19009.0,320.53895523173236,1722.1598787908051,0.0,3.0,21.0,102.0,76150.0
Love,19009.0,413.87732126887266,3730.940449783728,0.0,0.0,4.0,70.0,244482.0
Wow,19009.0,5.8683255300120996,52.94697862183675,0.0,0.0,1.0,3.0,4345.0
Haha,19009.0,105.71971171550318,942.0342481881223,0.0,0.0,2.0,29.0,99276.0
Sad,19009.0,10.172181598190331,418.3250070508589,0.0,0.0,0.0,2.0,56111.0
Angry,19009.0,20.05550002630333,156.02008883851676,0.0,0.0,1.0,9.0,11814.0
Care,19009.0,34.92903361565574,790.1032133298146,0.0,0.0,0.0,6.0,85236.0
Post Views,16544.0,6485.058510638298,90392.95844483688,0.0,0.0,0.0,0.0,4276477.0
Total Views,16544.0,7461.847014023211,95976.27884773293,0.0,0.0,0.0,0.0,4462155.0
Total Views For All Crossposts,16544.0,3555.9379835589943,88094.04831888586,0.0,0.0,0.0,0.0,4499458.0
Sponsor Id,0.0,,,,,,,
Sponsor Name,0.0,,,,,,,
Sponsor Category,0.0,,,,,,,
Overperforming Score,16544.0,-2.744160420696325,7.808476956626751,-198.75,-3.87,-1.62,1.16,246.78
illuminating_scored_messageelection_integrity_Truth_illuminating,0.0,,,,,,,
advocacy_msg_type_illuminating,19009.0,0.549266137092956,0.49758001607956515,0.0,0.0,1.0,1.0,1.0
issue_msg_type_illuminating,19009.0,0.4603082750276185,0.4984351878057777,0.0,0.0,0.0,1.0,1.0
attack_msg_type_illuminating,19009.0,0.2166868325530012,0.41199827516787474,0.0,0.0,0.0,0.0,1.0
image_msg_type_illuminating,19009.0,0.14856120784891366,0.3556647719111986,0.0,0.0,0.0,0.0,1.0
cta_msg_type_illuminating,19009.0,0.1328318165079699,0.33940180462231895,0.0,0.0,0.0,0.0,1.0
engagement_cta_subtype_illuminating,19009.0,0.0908517018254511,0.2874056636829493,0.0,0.0,0.0,0.0,1.0
fundraising_cta_subtype_illuminating,19009.0,0.01841233100110474,0.1344405738423889,0.0,0.0,0.0,0.0,1.0
voting_cta_subtype_illuminating,19009.0,0.023409963701404597,0.15120562176831398,0.0,0.0,0.0,0.0,1.0
covid_topic_illuminating,19009.0,0.05239623336314377,0.22283060875083474,0.0,0.0,0.0,0.0,1.0
economy_topic_illuminating,19009.0,0.09037824188542269,0.28673043141768567,0.0,0.0,0.0,0.0,1.0
education_topic_illuminating,19009.0,0.014992898100899574,0.12152731400516714,0.0,0.0,0.0,0.0,1.0
environment_topic_illuminating,19009.0,0.022252617181335158,0.14750790777540243,0.0,0.0,0.0,0.0,1.0
foreign_policy_topic_illuminating,19009.0,0.03687726866221264,0.18846539275138505,0.0,0.0,0.0,0.0,1.0
governance_topic_illuminating,19009.0,0.03109053606186543,0.17356698831045567,0.0,0.0,0.0,0.0,1.0
health_topic_illuminating,19009.0,0.04866116050291967,0.21516432655742937,0.0,0.0,0.0,0.0,1.0
immigration_topic_illuminating,19009.0,0.04082276816244937,0.19788463748091845,0.0,0.0,0.0,0.0,1.0
lgbtq_issues_topic_illuminating,19009.0,0.0033668262402020096,0.05792812142402817,0.0,0.0,0.0,0.0,1.0
military_topic_illuminating,19009.0,0.0055763059603345785,0.07446813078448923,0.0,0.0,0.0,0.0,1.0
race_and_ethnicity_topic_illuminating,19009.0,0.021568730601294123,0.14527432913516947,0.0,0.0,0.0,0.0,1.0
safety_topic_illuminating,19009.0,0.032195275921931714,0.17652302788512084,0.0,0.0,0.0,0.0,1.0
social_and_cultural_topic_illuminating,19009.0,0.06170761218370246,0.24063006640222973,0.0,0.0,0.0,0.0,1.0
technology_and_privacy_topic_illuminating,19009.0,0.0020516597401230995,0.04524995190748488,0.0,0.0,0.0,0.0,1.0
womens_issue_topic_illuminating,19009.0,0.0254616234415277,0.15752661549176902,0.0,0.0,0.0,0.0,1.0
incivility_illuminating,19009.0,0.1278867904676732,0.333972494246994,0.0,0.0,0.0,0.0,1.0
scam_illuminating,18060.0,0.020210409745293468,0.14072329443760617,0.0,0.0,0.0,0.0,1.0
freefair_illuminating,19009.0,0.0028407596401704457,0.05322441874761125,0.0,0.0,0.0,0.0,1.0
fraud_illuminating,19009.0,0.00862749224051765,0.09248518037866804,0.0,0.0,0.0,0.0,1.0
