,count,mean,std,min,25%,50%,75%,max
estimated_audience_size,246745.0,556462.8559687126,409864.7588229004,0.0,75000.0,300000.0,1000001.0,1000001.0
estimated_impressions,246745.0,45601.52595189366,136790.7699009743,499.0,499.0,3499.0,22499.0,1000000.0
estimated_spend,246745.0,1061.2914344768892,4992.560748790496,49.0,49.0,49.0,449.0,474999.0
scam_illuminating,246745.0,0.07163265719670105,0.25787921423673715,0.0,0.0,0.0,0.0,1.0
election_integrity_Truth_illuminating,246745.0,0.05008814768283045,0.21812729763387223,0.0,0.0,0.0,0.0,1.0
advocacy_msg_type_illuminating,246745.0,0.5486311779367363,0.497630397126595,0.0,0.0,1.0,1.0,1.0
issue_msg_type_illuminating,246745.0,0.38164907090315914,0.4857921510396574,0.0,0.0,0.0,1.0,1.0
attack_msg_type_illuminating,246745.0,0.27185555938316885,0.4449167522858617,0.0,0.0,0.0,1.0,1.0
image_msg_type_illuminating,246745.0,0.22270360088350322,0.4160617845958501,0.0,0.0,0.0,0.0,1.0
cta_msg_type_illuminating,246745.0,0.5727694583476869,0.494677266171429,0.0,0.0,1.0,1.0,1.0
engagement_cta_subtype_illuminating,246745.0,0.12486980485926767,0.33057189773286044,0.0,0.0,0.0,0.0,1.0
fundraising_cta_subtype_illuminating,246745.0,0.22848689943058623,0.41985872700947896,0.0,0.0,0.0,0.0,1.0
voting_cta_subtype_illuminating,246745.0,0.1438448600782184,0.3509330640202866,0.0,0.0,0.0,0.0,1.0
covid_topic_illuminating,246745.0,0.024875884009807697,0.1557471435150896,0.0,0.0,0.0,0.0,1.0
economy_topic_illuminating,246745.0,0.12212202881517356,0.32742735588929806,0.0,0.0,0.0,0.0,1.0
education_topic_illuminating,246745.0,0.01432653143934021,0.11883324100045269,0.0,0.0,0.0,0.0,1.0
environment_topic_illuminating,246745.0,0.02124865752092241,0.14421246950528024,0.0,0.0,0.0,0.0,1.0
foreign_policy_topic_illuminating,246745.0,0.005264544367667025,0.07236608434904696,0.0,0.0,0.0,0.0,1.0
governance_topic_illuminating,246745.0,0.025641856977851627,0.15806471271184336,0.0,0.0,0.0,0.0,1.0
health_topic_illuminating,246745.0,0.10918964923301384,0.3118776425730838,0.0,0.0,0.0,0.0,1.0
immigration_topic_illuminating,246745.0,0.03356906928205232,0.18011751261563122,0.0,0.0,0.0,0.0,1.0
lgbtq_issues_topic_illuminating,246745.0,0.0032300553202699142,0.05674182858630724,0.0,0.0,0.0,0.0,1.0
military_topic_illuminating,246745.0,0.002176335893331172,0.04660051777000644,0.0,0.0,0.0,0.0,1.0
race_and_ethnicity_topic_illuminating,246745.0,0.01243388923787716,0.1108121717210725,0.0,0.0,0.0,0.0,1.0
safety_topic_illuminating,246745.0,0.03372307442906645,0.18051581854097484,0.0,0.0,0.0,0.0,1.0
social_and_cultural_topic_illuminating,246745.0,0.10583801090194331,0.30763080127175746,0.0,0.0,0.0,0.0,1.0
technology_and_privacy_topic_illuminating,246745.0,0.0011550386026059293,0.033966294530661925,0.0,0.0,0.0,0.0,1.0
womens_issue_topic_illuminating,246745.0,0.08090944092078867,0.27269654319120906,0.0,0.0,0.0,0.0,1.0
incivility_illuminating,246745.0,0.18752558309185596,0.3903336473564741,0.0,0.0,0.0,0.0,1.0
freefair_illuminating,246745.0,0.006415530203246266,0.07983982095066962,0.0,0.0,0.0,0.0,1.0
fraud_illuminating,246745.0,0.0026383513343735433,0.051297184143450476,0.0,0.0,0.0,0.0,1.0
