column,unique_values,most_frequent_value,frequency
Facebook_Id,21,b9d563b713eeb6c6b73092e53d377fddb137463b7d560b8c5be11e7842b26f50,310
post_id,19009,aecfe34a0b06bfafd47b92aa2f8196c0640ee296c03d7d4a92cfefb8c61c88b3,1
Page Category,7,ACTOR,3304
Page Admin Top Country,2,,2729
Post Created,18951,2024-06-29 00:13:59 EDT,1
Post Created Date,425,2023-12-28,59
Post Created Time,16102,12:51:30,2
Type,10,Live Video,2
Total Interactions,5665,"2,337",1
Video Share Status,4,,15738
Is Video Owner?,4,No,83
Video Length,775,00:03:59,2
Sponsor Id,1,,19009
Sponsor Name,1,,19009
Sponsor Category,1,,19009
illuminating_scored_messageelection_integrity_Truth_illuminating,1,,19009
